Area_name,STCOU,EDU010187F,EDU010187D,EDU010187N1,EDU010187N2,EDU010188F,EDU010188D,EDU010188N1,EDU010188N2,EDU010189F,EDU010189D,EDU010189N1,EDU010189N2,EDU010190F,EDU010190D,EDU010190N1,EDU010190N2,EDU010191F,EDU010191D,EDU010191N1,EDU010191N2,EDU010192F,EDU010192D,EDU010192N1,EDU010192N2,EDU010193F,EDU010193D,EDU010193N1,EDU010193N2,EDU010194F,EDU010194D,EDU010194N1,EDU010194N2,EDU010195F,EDU010195D,EDU010195N1,EDU010195N2,EDU010196F,EDU010196D,EDU010196N1,EDU010196N2
UNITED STATES,00000,0,40024299,0000,0000,0,39967624,0000,0000,0,40317775,0000,0000,0,40737600,0000,0000,0,41385442,0000,0000,0,42088151,0000,0000,0,42724710,0000,0000,0,43369917,0000,0000,0,43993459,0000,0000,0,44715737,0000,0000
ALABAMA,01000,0,733735,0000,0000,0,728234,0000,0000,0,730048,0000,0000,0,728252,0000,0000,0,725541,0000,0000,0,726150,0000,0000,0,728014,0000,0000,0,730509,0000,0000,0,727989,0000,0000,0,736825,0000,0000
"Autauga, AL",01001,0,6829,0000,0000,0,6900,0000,0000,0,6920,0000,0000,0,6847,0000,0000,0,7008,0000,0000,0,7137,0000,0000,0,7152,0000,0000,0,7381,0000,0000,0,7568,0000,0000,0,7834,0000,0000
"Baldwin, AL",01003,0,16417,0000,0000,0,16465,0000,0000,0,16799,0000,0000,0,17054,0000,0000,0,17479,0000,0000,0,17983,0000,0000,0,18735,0000,0000,0,19384,0000,0000,0,19961,0000,0000,0,20699,0000,0000
"Barbour, AL",01005,0,5071,0000,0000,0,5098,0000,0000,0,5068,0000,0000,0,5156,0000,0000,0,5173,0000,0000,0,5252,0000,0000,0,5135,0000,0000,0,5111,0000,0000,0,5017,0000,0000,0,5053,0000,0000
"Bibb, AL",01007,0,3557,0000,0000,0,3508,0000,0000,0,3571,0000,0000,0,3621,0000,0000,0,3652,0000,0000,0,3564,0000,0000,0,3565,0000,0000,0,3552,0000,0000,0,3539,0000,0000,0,3656,0000,0000
"Blount, AL",01009,0,7319,0000,0000,0,7223,0000,0000,0,7205,0000,0000,0,7209,0000,0000,0,7155,0000,0000,0,7150,0000,0000,0,7210,0000,0000,0,7300,0000,0000,0,7421,0000,0000,0,7622,0000,0000
"Bullock, AL",01011,0,2014,0000,0000,0,1980,0000,0000,0,1985,0000,0000,0,1983,0000,0000,0,1985,0000,0000,0,2023,0000,0000,0,2010,0000,0000,0,2011,0000,0000,0,1972,0000,0000,0,1989,0000,0000
"Butler, AL",01013,0,4640,0000,0000,0,4582,0000,0000,0,4610,0000,0000,0,4591,0000,0000,0,4544,0000,0000,0,4476,0000,0000,0,4444,0000,0000,0,4348,0000,0000,0,4300,0000,0000,0,4173,0000,0000
"Calhoun, AL",01015,0,20939,0000,0000,0,20923,0000,0000,0,20907,0000,0000,0,20849,0000,0000,0,20768,0000,0000,0,20485,0000,0000,0,20510,0000,0000,0,20110,0000,0000,0,19619,0000,0000,0,19665,0000,0000
