Area_name,STCOU,EDU010197F,EDU010197D,EDU010197N1,EDU010197N2,EDU010198F,EDU010198D,EDU010198N1,EDU010198N2,EDU010199F,EDU010199D,EDU010199N1,EDU010199N2,EDU010200F,EDU010200D,EDU010200N1,EDU010200N2,EDU010201F,EDU010201D,EDU010201N1,EDU010201N2,EDU010202F,EDU010202D,EDU010202N1,EDU010202N2,EDU015203F,EDU015203D,EDU015203N1,EDU015203N2,EDU015204F,EDU015204D,EDU015204N1,EDU015204N2,EDU015205F,EDU015205D,EDU015205N1,EDU015205N2,EDU015206F,EDU015206D,EDU015206N1,EDU015206N2
UNITED STATES,00000,0,44534459,0000,0000,0,46245814,0000,0000,0,46368903,0000,0000,0,46818690,0000,0000,0,47127066,0000,0000,0,47606570,0000,0000,0,48506317,0000,0000,0,48693287,0000,0000,0,48978555,0000,0000,0,49140702,0000,0000
ALABAMA,01000,0,737386,0000,0000,0,739321,0000,0000,0,737639,0000,0000,0,731613,0000,0000,0,730627,0000,0000,0,728539,0000,0000,0,731251,0000,0000,0,730140,0000,0000,0,743626,0000,0000,0,743632,0000,0000
"Autauga, AL",01001,0,8099,0000,0000,0,8211,0000,0000,0,8489,0000,0000,0,8912,0000,0000,0,8626,0000,0000,0,8762,0000,0000,0,9105,0000,0000,0,9200,0000,0000,0,9559,0000,0000,0,9652,0000,0000
"Baldwin, AL",01003,0,21410,0000,0000,0,21771,0000,0000,0,22176,0000,0000,0,22337,0000,0000,0,22656,0000,0000,0,23062,0000,0000,0,24037,0000,0000,0,24443,0000,0000,0,25958,0000,0000,0,26286,0000,0000
"Barbour, AL",01005,0,5100,0000,0000,0,5024,0000,0000,0,4906,0000,0000,0,4793,0000,0000,0,4671,0000,0000,0,4554,0000,0000,0,4329,0000,0000,0,4265,0000,0000,0,4155,0000,0000,0,4057,0000,0000
"Bibb, AL",01007,0,3717,0000,0000,0,3760,0000,0000,0,3689,0000,0000,0,3646,0000,0000,0,3556,0000,0000,0,3595,0000,0000,0,3529,0000,0000,0,3559,0000,0000,0,3533,0000,0000,0,3506,0000,0000
"Blount, AL",01009,0,7816,0000,0000,0,8054,0000,0000,0,8135,0000,0000,0,8346,0000,0000,0,8517,0000,0000,0,8652,0000,0000,0,9042,0000,0000,0,9118,0000,0000,0,9342,0000,0000,0,9613,0000,0000
"Bullock, AL",01011,0,2010,0000,0000,0,1989,0000,0000,0,1945,0000,0000,0,1953,0000,0000,0,1981,0000,0000,0,1916,0000,0000,0,1820,0000,0000,0,1781,0000,0000,0,1807,0000,0000,0,1696,0000,0000
"Butler, AL",01013,0,4119,0000,0000,0,3989,0000,0000,0,3850,0000,0000,0,3665,0000,0000,0,3632,0000,0000,0,3601,0000,0000,0,3557,0000,0000,0,3548,0000,0000,0,3503,0000,0000,0,3429,0000,0000
"Calhoun, AL",01015,0,19721,0000,0000,0,19565,0000,0000,0,19267,0000,0000,0,18291,0000,0000,0,18175,0000,0000,0,18075,0000,0000,0,18133,0000,0000,0,18090,0000,0000,0,18358,0000,0000,0,18259,0000,0000
"Chambers, AL",01017,0,5733,0000,0000,0,5739,0000,0000,0,5686,0000,0000,0,5591,0000,0000,0,5557,0000,0000,0,5482,0000,0000,0,5410,0000,0000,0,5317,0000,0000,0,5327,0000,0000,0,5217,0000,0000
"Cherokee, AL",01019,0,3815,0000,0000,0,3884,0000,0000,0,3933,0000,0000,0,3962,0000,0000,0,3919,0000,0000,0,3993,0000,0000,0,4204,0000,0000,0,4225,0000,0000,0,4196,0000,0000,0,4158,0000,0000
"Chilton, AL",01021,0,6355,0000,0000,0,6413,0000,0000,0,6562,0000,0000,0,6663,0000,0000,0,6785,0000,0000,0,6855,0000,0000,0,7102,0000,0000,0,7210,0000,0000,0,7276,0000,0000,0,7453,0000,0000
"Choctaw, AL",01023,0,2627,0000,0000,0,2557,0000,0000,0,2431,0000,0000,0,2333,0000,0000,0,2262,0000,0000,0,2198,0000,0000,0,2147,0000,0000,0,2072,0000,0000,0,2046,0000,0000,0,2035,0000,0000
"Clarke, AL",01025,0,5590,0000,0000,0,5517,0000,0000,0,5391,0000,0000,0,5312,0000,0000,0,5280,0000,0000,0,5245,0000,0000,0,5195,0000,0000,0,5196,0000,0000,0,5151,0000,0000,0,5050,0000,0000
"Clay, AL",01027,0,2593,0000,0000,0,2574,0000,0000,0,2553,0000,0000,0,2503,0000,0000,0,2426,0000,0000,0,2339,0000,0000,0,2029,0000,0000,0,2064,0000,0000,0,2111,0000,0000,0,2135,0000,0000
"Cleburne, AL",01029,0,2527,0000,0000,0,2498,0000,0000,0,2564,0000,0000,0,2557,0000,0000,0,2558,0000,0000,0,2571,0000,0000,0,2611,0000,0000,0,2503,0000,0000,0,2894,0000,0000,0,2703,0000,0000
"Coffee, AL",01031,0,8440,0000,0000,0,8474,0000,0000,0,8370,0000,0000,0,8212,0000,0000,0,8008,0000,0000,0,8008,0000,0000,0,8239,0000,0000,0,8361,0000,0000,0,8709,0000,0000,0,8823,0000,0000
"Colbert, AL",01033,0,8795,0000,0000,0,8701,0000,0000,0,8571,0000,0000,0,8516,0000,0000,0,8532,0000,0000,0,8500,0000,0000,0,8507,0000,0000,0,8481,0000,0000,0,8527,0000,0000,0,8417,0000,0000
