Area_name,STCOU,PST015171F,PST015171D,PST015171N1,PST015171N2,PST015172F,PST015172D,PST015172N1,PST015172N2,PST015173F,PST015173D,PST015173N1,PST015173N2,PST015174F,PST015174D,PST015174N1,PST015174N2,PST015175F,PST015175D,PST015175N1,PST015175N2,PST015176F,PST015176D,PST015176N1,PST015176N2,PST015177F,PST015177D,PST015177N1,PST015177N2,PST015178F,PST015178D,PST015178N1,PST015178N2,PST015179F,PST015179D,PST015179N1,PST015179N2,PST025181F,PST025181D,PST025181N1,PST025181N2
UNITED STATES,00000,0,206827028,0000,0000,0,209283904,0000,0000,0,211357490,0000,0000,0,213341552,0000,0000,0,215465246,0000,0000,0,217562728,0000,0000,0,219759860,0000,0000,0,222095080,0000,0000,0,224567234,0000,0000,0,229466391,0000,0000
ALABAMA,01000,0,3497452,0000,0000,0,3540080,0000,0000,0,3580769,0000,0000,0,3627805,0000,0000,0,3680533,0000,0000,0,3737204,0000,0000,0,3782736,0000,0000,0,3834120,0000,0000,0,3869444,0000,0000,0,3918526,0000,0000
"Autauga, AL",01001,0,25508,0000,0000,0,27166,0000,0000,0,28463,0000,0000,0,29266,0000,0000,0,29718,0000,0000,0,29896,0000,0000,0,30462,0000,0000,0,30882,0000,0000,0,32055,0000,0000,0,31985,0000,0000
"Baldwin, AL",01003,0,60141,0000,0000,0,62435,0000,0000,0,64195,0000,0000,0,66071,0000,0000,0,67860,0000,0000,0,70243,0000,0000,0,72398,0000,0000,0,74549,0000,0000,0,76593,0000,0000,0,80292,0000,0000
"Barbour, AL",01005,0,23092,0000,0000,0,22854,0000,0000,0,23457,0000,0000,0,23432,0000,0000,0,24869,0000,0000,0,25609,0000,0000,0,24690,0000,0000,0,24524,0000,0000,0,24429,0000,0000,0,24744,0000,0000
"Bibb, AL",01007,0,13919,0000,0000,0,14097,0000,0000,0,14654,0000,0000,0,14391,0000,0000,0,14778,0000,0000,0,14763,0000,0000,0,15257,0000,0000,0,15355,0000,0000,0,15550,0000,0000,0,15835,0000,0000
"Blount, AL",01009,0,27817,0000,0000,0,29296,0000,0000,0,30357,0000,0000,0,31537,0000,0000,0,32219,0000,0000,0,33048,0000,0000,0,34219,0000,0000,0,34845,0000,0000,0,35959,0000,0000,0,36642,0000,0000
"Bullock, AL",01011,0,11418,0000,0000,0,11443,0000,0000,0,11274,0000,0000,0,11141,0000,0000,0,11097,0000,0000,0,11112,0000,0000,0,11015,0000,0000,0,10954,0000,0000,0,10799,0000,0000,0,10680,0000,0000
"Butler, AL",01013,0,21846,0000,0000,0,21530,0000,0000,0,21237,0000,0000,0,21160,0000,0000,0,21169,0000,0000,0,21351,0000,0000,0,20872,0000,0000,0,20911,0000,0000,0,21204,0000,0000,0,22183,0000,0000
"Calhoun, AL",01015,0,103621,0000,0000,0,103845,0000,0000,0,105026,0000,0000,0,105916,0000,0000,0,107004,0000,0000,0,112767,0000,0000,0,112800,0000,0000,0,116473,0000,0000,0,116741,0000,0000,0,120818,0000,0000
"Chambers, AL",01017,0,36280,0000,0000,0,36087,0000,0000,0,36961,0000,0000,0,37534,0000,0000,0,37537,0000,0000,0,37943,0000,0000,0,38368,0000,0000,0,38734,0000,0000,0,39303,0000,0000,0,39386,0000,0000
"Cherokee, AL",01019,0,16522,0000,0000,0,16860,0000,0000,0,17242,0000,0000,0,17661,0000,0000,0,18068,0000,0000,0,18556,0000,0000,0,18435,0000,0000,0,18590,0000,0000,0,18644,0000,0000,0,19309,0000,0000
"Chilton, AL",01021,0,25630,0000,0000,0,26442,0000,0000,0,27241,0000,0000,0,27932,0000,0000,0,28558,0000,0000,0,29051,0000,0000,0,29317,0000,0000,0,29926,0000,0000,0,30472,0000,0000,0,30703,0000,0000
"Choctaw, AL",01023,0,16516,0000,0000,0,16689,0000,0000,0,16996,0000,0000,0,16819,0000,0000,0,17226,0000,0000,0,17448,0000,0000,0,17329,0000,0000,0,16931,0000,0000,0,16909,0000,0000,0,16672,0000,0000
"Clarke, AL",01025,0,25876,0000,0000,0,26280,0000,0000,0,26544,0000,0000,0,26907,0000,0000,0,27385,0000,0000,0,27850,0000,0000,0,28225,0000,0000,0,28360,0000,0000,0,27646,0000,0000,0,28127,0000,0000
"Clay, AL",01027,0,12926,0000,0000,0,13240,0000,0000,0,12959,0000,0000,0,13139,0000,0000,0,13165,0000,0000,0,13381,0000,0000,0,13330,0000,0000,0,13697,0000,0000,0,13895,0000,0000,0,13864,0000,0000
"Cleburne, AL",01029,0,11165,0000,0000,0,11384,0000,0000,0,11654,0000,0000,0,11839,0000,0000,0,11985,0000,0000,0,12055,0000,0000,0,12086,0000,0000,0,12217,0000,0000,0,12559,0000,0000,0,12797,0000,0000
"Coffee, AL",01031,0,36396,0000,0000,0,36171,0000,0000,0,35648,0000,0000,0,35507,0000,0000,0,36451,0000,0000,0,36960,0000,0000,0,37355,0000,0000,0,37450,0000,0000,0,37849,0000,0000,0,39694,0000,0000
"Colbert, AL",01033,0,50386,0000,0000,0,50720,0000,0000,0,51277,0000,0000,0,50778,0000,0000,0,52084,0000,0000,0,52053,0000,0000,0,53133,0000,0000,0,53322,0000,0000,0,54096,0000,0000,0,54723,0000,0000
"Conecuh, AL",01035,0,15788,0000,0000,0,15796,0000,0000,0,15702,0000,0000,0,15518,0000,0000,0,15794,0000,0000,0,15516,0000,0000,0,15435,0000,0000,0,15811,0000,0000,0,15933,0000,0000,0,15629,0000,0000
"Coosa, AL",01037,0,10720,0000,0000,0,10852,0000,0000,0,11408,0000,0000,0,11470,0000,0000,0,11469,0000,0000,0,11240,0000,0000,0,11516,0000,0000,0,11652,0000,0000,0,11630,0000,0000,0,11448,0000,0000
"Covington, AL",01039,0,34607,0000,0000,0,34986,0000,0000,0,35341,0000,0000,0,36050,0000,0000,0,36193,0000,0000,0,36245,0000,0000,0,36264,0000,0000,0,36492,0000,0000,0,37084,0000,0000,0,36937,0000,0000
"Crenshaw, AL",01041,0,13363,0000,0000,0,13504,0000,0000,0,13943,0000,0000,0,14032,0000,0000,0,13853,0000,0000,0,13912,0000,0000,0,13927,0000,0000,0,13909,0000,0000,0,14084,0000,0000,0,14143,0000,0000
"Cullman, AL",01043,0,54323,0000,0000,0,55776,0000,0000,0,57227,0000,0000,0,57727,0000,0000,0,58084,0000,0000,0,59685,0000,0000,0,60379,0000,0000,0,61078,0000,0000,0,61470,0000,0000,0,62040,0000,0000
"Dale, AL",01045,0,54548,0000,0000,0,49452,0000,0000,0,43859,0000,0000,0,44370,0000,0000,0,46068,0000,0000,0,44861,0000,0000,0,44652,0000,0000,0,46666,0000,0000,0,46385,0000,0000,0,48623,0000,0000
"Dallas, AL",01047,0,55936,0000,0000,0,57140,0000,0000,0,57294,0000,0000,0,58343,0000,0000,0,58401,0000,0000,0,58214,0000,0000,0,58178,0000,0000,0,54710,0000,0000,0,54454,0000,0000,0,53762,0000,0000
"DeKalb, AL",01049,0,43656,0000,0000,0,44799,0000,0000,0,46720,0000,0000,0,47903,0000,0000,0,49978,0000,0000,0,51192,0000,0000,0,52025,0000,0000,0,53109,0000,0000,0,53487,0000,0000,0,54267,0000,0000
"Elmore, AL",01051,0,33857,0000,0000,0,35356,0000,0000,0,36534,0000,0000,0,37955,0000,0000,0,39667,0000,0000,0,39699,0000,0000,0,40505,0000,0000,0,41386,0000,0000,0,43040,0000,0000,0,43731,0000,0000
"Escambia, AL",01053,0,35218,0000,0000,0,36517,0000,0000,0,36926,0000,0000,0,37100,0000,0000,0,38345,0000,0000,0,37612,0000,0000,0,37510,0000,0000,0,37558,0000,0000,0,37919,0000,0000,0,37563,0000,0000
"Etowah, AL",01055,0,94886,0000,0000,0,95757,0000,0000,0,96071,0000,0000,0,96578,0000,0000,0,97935,0000,0000,0,98983,0000,0000,0,100170,0000,0000,0,101730,0000,0000,0,102936,0000,0000,0,103139,0000,0000
"Fayette, AL",01057,0,16095,0000,0000,0,16395,0000,0000,0,16544,0000,0000,0,17082,0000,0000,0,17360,0000,0000,0,17401,0000,0000,0,17485,0000,0000,0,17783,0000,0000,0,18320,0000,0000,0,18975,0000,0000
"Franklin, AL",01059,0,24627,0000,0000,0,25530,0000,0000,0,26016,0000,0000,0,26832,0000,0000,0,26826,0000,0000,0,27208,0000,0000,0,27743,0000,0000,0,27918,0000,0000,0,28815,0000,0000,0,28190,0000,0000
"Geneva, AL",01061,0,22173,0000,0000,0,22784,0000,0000,0,22689,0000,0000,0,22746,0000,0000,0,23177,0000,0000,0,23239,0000,0000,0,23406,0000,0000,0,23564,0000,0000,0,23915,0000,0000,0,23902,0000,0000
"Greene, AL",01063,0,10295,0000,0000,0,10231,0000,0000,0,10581,0000,0000,0,10640,0000,0000,0,10727,0000,0000,0,10988,0000,0000,0,10818,0000,0000,0,10957,0000,0000,0,10842,0000,0000,0,11081,0000,0000
"Hale, AL",01065,0,15601,0000,0000,0,15756,0000,0000,0,15872,0000,0000,0,15612,0000,0000,0,15728,0000,0000,0,15743,0000,0000,0,15751,0000,0000,0,15702,0000,0000,0,15926,0000,0000,0,15571,0000,0000
"Henry, AL",01067,0,13456,0000,0000,0,13528,0000,0000,0,13681,0000,0000,0,14108,0000,0000,0,14268,0000,0000,0,14600,0000,0000,0,14722,0000,0000,0,14921,0000,0000,0,15027,0000,0000,0,15435,0000,0000
"Houston, AL",01069,0,58517,0000,0000,0,61569,0000,0000,0,64038,0000,0000,0,68536,0000,0000,0,70600,0000,0000,0,71937,0000,0000,0,72837,0000,0000,0,74286,0000,0000,0,74688,0000,0000,0,76238,0000,0000
"Jackson, AL",01071,0,40669,0000,0000,0,42249,0000,0000,0,43122,0000,0000,0,45155,0000,0000,0,47011,0000,0000,0,48058,0000,0000,0,49698,0000,0000,0,50996,0000,0000,0,51605,0000,0000,0,51381,0000,0000
"Jefferson, AL",01073,0,649806,0000,0000,0,647098,0000,0000,0,650633,0000,0000,0,648793,0000,0000,0,655334,0000,0000,0,661295,0000,0000,0,663604,0000,0000,0,667406,0000,0000,0,671696,0000,0000,0,667795,0000,0000
"Lamar, AL",01075,0,14678,0000,0000,0,15480,0000,0000,0,15401,0000,0000,0,15809,0000,0000,0,16003,0000,0000,0,16080,0000,0000,0,16062,0000,0000,0,16138,0000,0000,0,16197,0000,0000,0,16422,0000,0000
"Lauderdale, AL",01077,0,70157,0000,0000,0,70858,0000,0000,0,72284,0000,0000,0,73354,0000,0000,0,74346,0000,0000,0,75819,0000,0000,0,77072,0000,0000,0,78544,0000,0000,0,80462,0000,0000,0,81380,0000,0000
