Area_name,STCOU,PST025182F,PST025182D,PST025182N1,PST025182N2,PST025183F,PST025183D,PST025183N1,PST025183N2,PST025184F,PST025184D,PST025184N1,PST025184N2,PST025185F,PST025185D,PST025185N1,PST025185N2,PST025186F,PST025186D,PST025186N1,PST025186N2,PST025187F,PST025187D,PST025187N1,PST025187N2,PST025188F,PST025188D,PST025188N1,PST025188N2,PST025189F,PST025189D,PST025189N1,PST025189N2,PST030190F,PST030190D,PST030190N1,PST030190N2,PST035190F,PST035190D,PST035190N1,PST035190N2
UNITED STATES,00000,0,231665106,0000,0000,0,233792697,0000,0000,0,235825544,0000,0000,0,237924311,0000,0000,0,240133472,0000,0000,0,242289738,0000,0000,0,244499776,0000,0000,0,246819839,0000,0000,0,248790925,0000,0000,0,249622814,0000,0000
ALABAMA,01000,0,3925328,0000,0000,0,3934100,0000,0000,0,3951766,0000,0000,0,3972539,0000,0000,0,3991552,0000,0000,0,4015266,0000,0000,0,4023902,0000,0000,0,4030239,0000,0000,0,4040389,0000,0000,0,4050055,0000,0000
"Autauga, AL",01001,0,32038,0000,0000,0,32057,0000,0000,0,32130,0000,0000,0,32248,0000,0000,0,32895,0000,0000,0,33266,0000,0000,0,33637,0000,0000,0,33996,0000,0000,0,34222,0000,0000,0,34353,0000,0000
"Baldwin, AL",01003,0,82330,0000,0000,0,83980,0000,0000,0,86753,0000,0000,0,89403,0000,0000,0,91308,0000,0000,0,93214,0000,0000,0,94652,0000,0000,0,96203,0000,0000,0,98280,0000,0000,0,98955,0000,0000
"Barbour, AL",01005,0,24775,0000,0000,0,24796,0000,0000,0,24954,0000,0000,0,25001,0000,0000,0,24942,0000,0000,0,25105,0000,0000,0,25231,0000,0000,0,25337,0000,0000,0,25417,0000,0000,0,25505,0000,0000
"Bibb, AL",01007,0,16017,0000,0000,0,16001,0000,0000,0,16090,0000,0000,0,16156,0000,0000,0,15919,0000,0000,0,16163,0000,0000,0,16137,0000,0000,0,16358,0000,0000,0,16598,0000,0000,0,16697,0000,0000
"Blount, AL",01009,0,36356,0000,0000,0,36427,0000,0000,0,36790,0000,0000,0,37417,0000,0000,0,37996,0000,0000,0,38017,0000,0000,0,38248,0000,0000,0,38771,0000,0000,0,39248,0000,0000,0,39473,0000,0000
"Bullock, AL",01011,0,10639,0000,0000,0,10686,0000,0000,0,10823,0000,0000,0,10779,0000,0000,0,10458,0000,0000,0,10893,0000,0000,0,11180,0000,0000,0,11171,0000,0000,0,11042,0000,0000,0,11032,0000,0000
"Butler, AL",01013,0,22399,0000,0000,0,22386,0000,0000,0,22440,0000,0000,0,22425,0000,0000,0,22340,0000,0000,0,22406,0000,0000,0,22210,0000,0000,0,22038,0000,0000,0,21892,0000,0000,0,21886,0000,0000
"Calhoun, AL",01015,0,122114,0000,0000,0,121249,0000,0000,0,121738,0000,0000,0,118646,0000,0000,0,117699,0000,0000,0,118096,0000,0000,0,117268,0000,0000,0,116378,0000,0000,0,116032,0000,0000,0,116118,0000,0000
"Chambers, AL",01017,0,39337,0000,0000,0,39261,0000,0000,0,39071,0000,0000,0,38613,0000,0000,0,37982,0000,0000,0,37752,0000,0000,0,37383,0000,0000,0,37209,0000,0000,0,36876,0000,0000,0,36884,0000,0000
"Cherokee, AL",01019,0,19529,0000,0000,0,19136,0000,0000,0,18986,0000,0000,0,18891,0000,0000,0,18985,0000,0000,0,19229,0000,0000,0,19518,0000,0000,0,19465,0000,0000,0,19543,0000,0000,0,19643,0000,0000
"Chilton, AL",01021,0,30362,0000,0000,0,30735,0000,0000,0,31078,0000,0000,0,31560,0000,0000,0,31923,0000,0000,0,31992,0000,0000,0,32310,0000,0000,0,32368,0000,0000,0,32458,0000,0000,0,32550,0000,0000
"Choctaw, AL",01023,0,16371,0000,0000,0,16593,0000,0000,0,16618,0000,0000,0,16708,0000,0000,0,16728,0000,0000,0,16556,0000,0000,0,16476,0000,0000,0,16165,0000,0000,0,16018,0000,0000,0,15994,0000,0000
"Clarke, AL",01025,0,27946,0000,0000,0,27863,0000,0000,0,27636,0000,0000,0,27420,0000,0000,0,27362,0000,0000,0,27529,0000,0000,0,27272,0000,0000,0,27166,0000,0000,0,27240,0000,0000,0,27289,0000,0000
"Clay, AL",01027,0,13765,0000,0000,0,13760,0000,0000,0,13667,0000,0000,0,13701,0000,0000,0,13505,0000,0000,0,13330,0000,0000,0,13267,0000,0000,0,13170,0000,0000,0,13252,0000,0000,0,13284,0000,0000
"Cleburne, AL",01029,0,12875,0000,0000,0,12725,0000,0000,0,12630,0000,0000,0,12659,0000,0000,0,12556,0000,0000,0,12729,0000,0000,0,12744,0000,0000,0,12755,0000,0000,0,12730,0000,0000,0,12724,0000,0000
"Coffee, AL",01031,0,39837,0000,0000,0,40250,0000,0000,0,40234,0000,0000,0,40386,0000,0000,0,40632,0000,0000,0,40392,0000,0000,0,40703,0000,0000,0,40409,0000,0000,0,40240,0000,0000,0,40293,0000,0000
"Colbert, AL",01033,0,54073,0000,0000,0,53506,0000,0000,0,52990,0000,0000,0,52860,0000,0000,0,52486,0000,0000,0,51908,0000,0000,0,51501,0000,0000,0,51380,0000,0000,0,51666,0000,0000,0,51876,0000,0000
"Conecuh, AL",01035,0,15526,0000,0000,0,15309,0000,0000,0,15141,0000,0000,0,15029,0000,0000,0,15007,0000,0000,0,14772,0000,0000,0,14441,0000,0000,0,14222,0000,0000,0,14054,0000,0000,0,14042,0000,0000
"Coosa, AL",01037,0,11332,0000,0000,0,11257,0000,0000,0,11238,0000,0000,0,11033,0000,0000,0,11130,0000,0000,0,11184,0000,0000,0,11070,0000,0000,0,11073,0000,0000,0,11063,0000,0000,0,11071,0000,0000
"Covington, AL",01039,0,36777,0000,0000,0,36861,0000,0000,0,36992,0000,0000,0,37151,0000,0000,0,36796,0000,0000,0,36740,0000,0000,0,36602,0000,0000,0,36527,0000,0000,0,36478,0000,0000,0,36519,0000,0000
"Crenshaw, AL",01041,0,13996,0000,0000,0,13944,0000,0000,0,13894,0000,0000,0,13902,0000,0000,0,13861,0000,0000,0,13863,0000,0000,0,13834,0000,0000,0,13782,0000,0000,0,13635,0000,0000,0,13598,0000,0000
"Cullman, AL",01043,0,62384,0000,0000,0,63085,0000,0000,0,64389,0000,0000,0,65040,0000,0000,0,65825,0000,0000,0,66388,0000,0000,0,66616,0000,0000,0,67041,0000,0000,0,67613,0000,0000,0,67825,0000,0000
"Dale, AL",01045,0,48501,0000,0000,0,48730,0000,0000,0,48377,0000,0000,0,48454,0000,0000,0,49254,0000,0000,0,49590,0000,0000,0,50652,0000,0000,0,49988,0000,0000,0,49633,0000,0000,0,49600,0000,0000
"Dallas, AL",01047,0,53950,0000,0000,0,53449,0000,0000,0,53330,0000,0000,0,52885,0000,0000,0,52082,0000,0000,0,50763,0000,0000,0,49671,0000,0000,0,48929,0000,0000,0,48130,0000,0000,0,48015,0000,0000
"DeKalb, AL",01049,0,53800,0000,0000,0,53903,0000,0000,0,54144,0000,0000,0,53921,0000,0000,0,53636,0000,0000,0,53929,0000,0000,0,54168,0000,0000,0,54455,0000,0000,0,54651,0000,0000,0,54875,0000,0000
"Elmore, AL",01051,0,44341,0000,0000,0,44508,0000,0000,0,44981,0000,0000,0,45570,0000,0000,0,46079,0000,0000,0,47561,0000,0000,0,48113,0000,0000,0,48634,0000,0000,0,49210,0000,0000,0,49484,0000,0000
"Escambia, AL",01053,0,37465,0000,0000,0,37406,0000,0000,0,37492,0000,0000,0,37343,0000,0000,0,37382,0000,0000,0,37126,0000,0000,0,36314,0000,0000,0,35738,0000,0000,0,35518,0000,0000,0,35526,0000,0000
"Etowah, AL",01055,0,102524,0000,0000,0,102707,0000,0000,0,102308,0000,0000,0,102287,0000,0000,0,101665,0000,0000,0,101311,0000,0000,0,100726,0000,0000,0,100327,0000,0000,0,99840,0000,0000,0,99809,0000,0000
"Fayette, AL",01057,0,19181,0000,0000,0,19000,0000,0000,0,19162,0000,0000,0,19149,0000,0000,0,18968,0000,0000,0,18612,0000,0000,0,18188,0000,0000,0,17978,0000,0000,0,17962,0000,0000,0,18006,0000,0000
"Franklin, AL",01059,0,28256,0000,0000,0,28359,0000,0000,0,28730,0000,0000,0,28698,0000,0000,0,28533,0000,0000,0,28360,0000,0000,0,28297,0000,0000,0,28003,0000,0000,0,27814,0000,0000,0,27802,0000,0000
"Geneva, AL",01061,0,23771,0000,0000,0,23697,0000,0000,0,23899,0000,0000,0,24026,0000,0000,0,23907,0000,0000,0,23811,0000,0000,0,23626,0000,0000,0,23433,0000,0000,0,23647,0000,0000,0,23734,0000,0000
"Greene, AL",01063,0,11005,0000,0000,0,11086,0000,0000,0,10948,0000,0000,0,10797,0000,0000,0,10578,0000,0000,0,10373,0000,0000,0,10330,0000,0000,0,10207,0000,0000,0,10153,0000,0000,0,10171,0000,0000
"Hale, AL",01065,0,15417,0000,0000,0,15319,0000,0000,0,15301,0000,0000,0,15027,0000,0000,0,15051,0000,0000,0,15103,0000,0000,0,15295,0000,0000,0,15388,0000,0000,0,15498,0000,0000,0,15533,0000,0000
"Henry, AL",01067,0,15222,0000,0000,0,15145,0000,0000,0,15197,0000,0000,0,15260,0000,0000,0,15088,0000,0000,0,15155,0000,0000,0,15176,0000,0000,0,15316,0000,0000,0,15374,0000,0000,0,15426,0000,0000
"Houston, AL",01069,0,77078,0000,0000,0,77125,0000,0000,0,77397,0000,0000,0,78038,0000,0000,0,78631,0000,0000,0,80015,0000,0000,0,80507,0000,0000,0,80708,0000,0000,0,81331,0000,0000,0,81666,0000,0000
"Jackson, AL",01071,0,51290,0000,0000,0,50570,0000,0000,0,50182,0000,0000,0,49501,0000,0000,0,48663,0000,0000,0,48568,0000,0000,0,48420,0000,0000,0,47796,0000,0000,0,47796,0000,0000,0,47948,0000,0000
"Jefferson, AL",01073,0,662419,0000,0000,0,660840,0000,0000,0,659572,0000,0000,0,658986,0000,0000,0,657908,0000,0000,0,657665,0000,0000,0,655632,0000,0000,0,653402,0000,0000,0,651520,0000,0000,0,652239,0000,0000
"Lamar, AL",01075,0,16485,0000,0000,0,16357,0000,0000,0,16330,0000,0000,0,16528,0000,0000,0,16511,0000,0000,0,16327,0000,0000,0,16061,0000,0000,0,15841,0000,0000,0,15715,0000,0000,0,15702,0000,0000
"Lauderdale, AL",01077,0,81070,0000,0000,0,80547,0000,0000,0,80497,0000,0000,0,80487,0000,0000,0,80168,0000,0000,0,79933,0000,0000,0,79630,0000,0000,0,79378,0000,0000,0,79661,0000,0000,0,79962,0000,0000
"Lawrence, AL",01079,0,30592,0000,0000,0,30669,0000,0000,0,31102,0000,0000,0,31147,0000,0000,0,30983,0000,0000,0,31007,0000,0000,0,31109,0000,0000,0,31396,0000,0000,0,31513,0000,0000,0,31605,0000,0000
"Lee, AL",01081,0,78998,0000,0000,0,79121,0000,0000,0,80285,0000,0000,0,81173,0000,0000,0,82777,0000,0000,0,82681,0000,0000,0,84602,0000,0000,0,85854,0000,0000,0,87146,0000,0000,0,87735,0000,0000
"Limestone, AL",01083,0,46432,0000,0000,0,47272,0000,0000,0,47696,0000,0000,0,49353,0000,0000,0,50113,0000,0000,0,51307,0000,0000,0,52443,0000,0000,0,53807,0000,0000,0,54135,0000,0000,0,54357,0000,0000
"Lowndes, AL",01085,0,12810,0000,0000,0,12718,0000,0000,0,12746,0000,0000,0,12719,0000,0000,0,12689,0000,0000,0,12745,0000,0000,0,12542,0000,0000,0,12726,0000,0000,0,12658,0000,0000,0,12668,0000,0000
"Macon, AL",01087,0,26402,0000,0000,0,25991,0000,0000,0,25508,0000,0000,0,25379,0000,0000,0,25322,0000,0000,0,25603,0000,0000,0,25360,0000,0000,0,25214,0000,0000,0,24928,0000,0000,0,24911,0000,0000
"Madison, AL",01089,0,202746,0000,0000,0,206596,0000,0000,0,210706,0000,0000,0,215240,0000,0000,0,220125,0000,0000,0,225387,0000,0000,0,231325,0000,0000,0,235785,0000,0000,0,238912,0000,0000,0,239996,0000,0000
"Marengo, AL",01091,0,24667,0000,0000,0,24585,0000,0000,0,24386,0000,0000,0,24236,0000,0000,0,23922,0000,0000,0,23820,0000,0000,0,23616,0000,0000,0,23428,0000,0000,0,23084,0000,0000,0,23003,0000,0000
"Marion, AL",01093,0,30587,0000,0000,0,31115,0000,0000,0,30784,0000,0000,0,30809,0000,0000,0,30251,0000,0000,0,30320,0000,0000,0,30042,0000,0000,0,29957,0000,0000,0,29830,0000,0000,0,29846,0000,0000
"Marshall, AL",01095,0,66869,0000,0000,0,67323,0000,0000,0,68262,0000,0000,0,69386,0000,0000,0,69745,0000,0000,0,70375,0000,0000,0,70662,0000,0000,0,70565,0000,0000,0,70832,0000,0000,0,71054,0000,0000
"Mobile, AL",01097,0,374778,0000,0000,0,376844,0000,0000,0,376209,0000,0000,0,378847,0000,0000,0,381728,0000,0000,0,383687,0000,0000,0,381506,0000,0000,0,378871,0000,0000,0,378643,0000,0000,0,379167,0000,0000
"Monroe, AL",01099,0,22629,0000,0000,0,22497,0000,0000,0,22862,0000,0000,0,22816,0000,0000,0,22876,0000,0000,0,23041,0000,0000,0,23172,0000,0000,0,23369,0000,0000,0,23968,0000,0000,0,24141,0000,0000
"Montgomery, AL",01101,0,200099,0000,0000,0,200463,0000,0000,0,202530,0000,0000,0,203894,0000,0000,0,206260,0000,0000,0,207799,0000,0000,0,208433,0000,0000,0,209648,0000,0000,0,209085,0000,0000,0,209537,0000,0000
"Morgan, AL",01103,0,90506,0000,0000,0,91255,0000,0000,0,92423,0000,0000,0,93933,0000,0000,0,95547,0000,0000,0,97143,0000,0000,0,97918,0000,0000,0,98774,0000,0000,0,100043,0000,0000,0,100513,0000,0000
"Perry, AL",01105,0,14743,0000,0000,0,14874,0000,0000,0,14694,0000,0000,0,14497,0000,0000,0,14083,0000,0000,0,13950,0000,0000,0,13544,0000,0000,0,13068,0000,0000,0,12759,0000,0000,0,12691,0000,0000
"Pickens, AL",01107,0,21698,0000,0000,0,21738,0000,0000,0,21690,0000,0000,0,21732,0000,0000,0,21605,0000,0000,0,21298,0000,0000,0,21003,0000,0000,0,20897,0000,0000,0,20699,0000,0000,0,20683,0000,0000
"Pike, AL",01109,0,27959,0000,0000,0,27846,0000,0000,0,27487,0000,0000,0,27839,0000,0000,0,27906,0000,0000,0,27796,0000,0000,0,27725,0000,0000,0,27647,0000,0000,0,27595,0000,0000,0,27662,0000,0000
"Randolph, AL",01111,0,20243,0000,0000,0,19958,0000,0000,0,20063,0000,0000,0,19777,0000,0000,0,19676,0000,0000,0,19576,0000,0000,0,19808,0000,0000,0,19890,0000,0000,0,19881,0000,0000,0,19991,0000,0000
"Russell, AL",01113,0,46664,0000,0000,0,46053,0000,0000,0,46469,0000,0000,0,46658,0000,0000,0,47355,0000,0000,0,47505,0000,0000,0,47318,0000,0000,0,46605,0000,0000,0,46860,0000,0000,0,46958,0000,0000
"St. Clair, AL",01115,0,42121,0000,0000,0,42490,0000,0000,0,44175,0000,0000,0,45351,0000,0000,0,46032,0000,0000,0,47500,0000,0000,0,48039,0000,0000,0,49163,0000,0000,0,49811,0000,0000,0,50084,0000,0000
"Shelby, AL",01117,0,70957,0000,0000,0,72848,0000,0000,0,75951,0000,0000,0,79601,0000,0000,0,83212,0000,0000,0,88475,0000,0000,0,92526,0000,0000,0,96501,0000,0000,0,99363,0000,0000,0,100024,0000,0000
"Sumter, AL",01119,0,17002,0000,0000,0,16980,0000,0000,0,17132,0000,0000,0,17121,0000,0000,0,17072,0000,0000,0,16915,0000,0000,0,16565,0000,0000,0,16293,0000,0000,0,16174,0000,0000,0,16153,0000,0000
"Talladega, AL",01121,0,74737,0000,0000,0,75509,0000,0000,0,75169,0000,0000,0,75275,0000,0000,0,75378,0000,0000,0,74738,0000,0000,0,74398,0000,0000,0,74226,0000,0000,0,74109,0000,0000,0,74182,0000,0000
"Tallapoosa, AL",01123,0,38427,0000,0000,0,38483,0000,0000,0,38460,0000,0000,0,38606,0000,0000,0,38557,0000,0000,0,38738,0000,0000,0,38771,0000,0000,0,38748,0000,0000,0,38826,0000,0000,0,38927,0000,0000
"Tuscaloosa, AL",01125,0,137541,0000,0000,0,138088,0000,0000,0,138931,0000,0000,0,141258,0000,0000,0,143700,0000,0000,0,146082,0000,0000,0,147451,0000,0000,0,148983,0000,0000,0,150500,0000,0000,0,151095,0000,0000
"Walker, AL",01127,0,67979,0000,0000,0,67732,0000,0000,0,67735,0000,0000,0,67855,0000,0000,0,68513,0000,0000,0,68658,0000,0000,0,68149,0000,0000,0,67864,0000,0000,0,67670,0000,0000,0,67642,0000,0000
"Washington, AL",01129,0,17569,0000,0000,0,17496,0000,0000,0,17194,0000,0000,0,17064,0000,0000,0,16942,0000,0000,0,17068,0000,0000,0,16966,0000,0000,0,16765,0000,0000,0,16694,0000,0000,0,16702,0000,0000
"Wilcox, AL",01131,0,15053,0000,0000,0,15145,0000,0000,0,14860,0000,0000,0,14783,0000,0000,0,14629,0000,0000,0,14490,0000,0000,0,14064,0000,0000,0,13828,0000,0000,0,13568,0000,0000,0,13506,0000,0000
"Winston, AL",01133,0,21967,0000,0000,0,21796,0000,0000,0,22128,0000,0000,0,22205,0000,0000,0,22115,0000,0000,0,21836,0000,0000,0,21739,0000,0000,0,21862,0000,0000,0,22053,0000,0000,0,22113,0000,0000
ALASKA,02000,0,449608,0000,0000,0,488423,0000,0000,0,513697,0000,0000,0,532503,0000,0000,0,544270,0000,0000,0,539324,0000,0000,0,541999,0000,0000,0,547170,0000,0000,0,550043,0000,0000,0,553290,0000,0000
"Aleutians East, AK",02013,2,0,5080,0000,2,0,5080,0000,2,0,5080,0000,2,0,5080,0000,2,0,5080,0000,2,0,5080,0000,0,2187,0000,0000,0,2439,0000,0000,0,2464,0000,0000,0,2477,0000,0000
"Aleutians West, AK",02016,1,8845,5080,0000,1,9088,5080,0000,1,9390,5080,0000,1,9732,5080,0000,1,9793,5080,0000,1,10314,5080,0000,0,8546,0000,0000,0,9306,0000,0000,0,9478,0000,0000,0,9599,0000,0000
"Anchorage, AK",02020,0,195208,0000,0000,0,211021,0000,0000,0,220243,0000,0000,0,226850,0000,0000,0,229961,0000,0000,0,225175,0000,0000,0,224368,0000,0000,0,225367,0000,0000,0,226338,0000,0000,0,227614,0000,0000
"Bethel, AK",02050,0,11995,0000,0000,0,12260,0000,0000,0,12768,0000,0000,0,12913,0000,0000,0,13139,0000,0000,0,13121,0000,0000,0,13605,0000,0000,0,13717,0000,0000,0,13660,0000,0000,0,13717,0000,0000
"Bristol Bay, AK",02060,0,1265,0000,0000,0,1289,0000,0000,0,1264,0000,0000,0,1430,0000,0000,0,1416,0000,0000,0,1436,0000,0000,0,1581,0000,0000,0,1575,0000,0000,0,1410,0000,0000,0,1388,0000,0000
"Denali, AK",02068,2,0,5082,0000,2,0,5082,0000,2,0,5082,0000,2,0,5082,0000,2,0,5082,0000,2,0,5082,0000,2,0,5082,0000,2,0,5082,0000,2,0,5082,0000,2,0,5082,0000
