Area_name,STCOU,PST035191F,PST035191D,PST035191N1,PST035191N2,PST035192F,PST035192D,PST035192N1,PST035192N2,PST035193F,PST035193D,PST035193N1,PST035193N2,PST035194F,PST035194D,PST035194N1,PST035194N2,PST035195F,PST035195D,PST035195N1,PST035195N2,PST035196F,PST035196D,PST035196N1,PST035196N2,PST035197F,PST035197D,PST035197N1,PST035197N2,PST035198F,PST035198D,PST035198N1,PST035198N2,PST035199F,PST035199D,PST035199N1,PST035199N2,PST040200F,PST040200D,PST040200N1,PST040200N2
UNITED STATES,00000,0,252980941,0000,0000,0,256514224,0000,0000,0,259918588,0000,0000,0,263125821,0000,0000,0,266278393,0000,0000,0,269394284,0000,0000,0,272646925,0000,0000,0,275854104,0000,0000,0,279040168,0000,0000,0,281424602,0000,0000
ALABAMA,01000,0,4099156,0000,0000,0,4154014,0000,0000,0,4214202,0000,0000,0,4260229,0000,0000,0,4296800,0000,0000,0,4331102,0000,0000,0,4367935,0000,0000,0,4404701,0000,0000,0,4430141,0000,0000,0,4447382,0000,0000
"Autauga, AL",01001,0,35010,0000,0000,0,35985,0000,0000,0,36953,0000,0000,0,38186,0000,0000,0,39112,0000,0000,0,40207,0000,0000,0,41238,0000,0000,0,42106,0000,0000,0,42963,0000,0000,0,43671,0000,0000
"Baldwin, AL",01003,0,102420,0000,0000,0,106595,0000,0000,0,111416,0000,0000,0,116565,0000,0000,0,120896,0000,0000,0,125412,0000,0000,0,130164,0000,0000,0,134444,0000,0000,0,137555,0000,0000,0,140415,0000,0000
"Barbour, AL",01005,0,26506,0000,0000,0,26941,0000,0000,0,27371,0000,0000,0,27751,0000,0000,0,27854,0000,0000,0,28298,0000,0000,0,28415,0000,0000,0,28841,0000,0000,0,28866,0000,0000,0,29038,0000,0000
"Bibb, AL",01007,0,17071,0000,0000,0,17403,0000,0000,0,17757,0000,0000,0,18053,0000,0000,0,18507,0000,0000,0,18885,0000,0000,0,19388,0000,0000,0,19851,0000,0000,0,20560,0000,0000,0,19889,0000,0000
"Blount, AL",01009,0,40190,0000,0000,0,40822,0000,0000,0,41866,0000,0000,0,42520,0000,0000,0,44060,0000,0000,0,45344,0000,0000,0,47055,0000,0000,0,48824,0000,0000,0,50237,0000,0000,0,51022,0000,0000
"Bullock, AL",01011,0,11188,0000,0000,0,11125,0000,0000,0,11219,0000,0000,0,11370,0000,0000,0,11431,0000,0000,0,11574,0000,0000,0,11624,0000,0000,0,11655,0000,0000,0,11755,0000,0000,0,11626,0000,0000
"Butler, AL",01013,0,21755,0000,0000,0,21794,0000,0000,0,21813,0000,0000,0,21851,0000,0000,0,21824,0000,0000,0,21863,0000,0000,0,21840,0000,0000,0,21718,0000,0000,0,21605,0000,0000,0,21399,0000,0000
"Calhoun, AL",01015,0,115247,0000,0000,0,115804,0000,0000,0,116324,0000,0000,0,116161,0000,0000,0,116790,0000,0000,0,116684,0000,0000,0,117254,0000,0000,0,117179,0000,0000,0,114910,0000,0000,0,112243,0000,0000
"Chambers, AL",01017,0,36913,0000,0000,0,37045,0000,0000,0,37026,0000,0000,0,37066,0000,0000,0,37179,0000,0000,0,36907,0000,0000,0,36698,0000,0000,0,36808,0000,0000,0,36527,0000,0000,0,36614,0000,0000
"Cherokee, AL",01019,0,19876,0000,0000,0,20181,0000,0000,0,20712,0000,0000,0,21214,0000,0000,0,21871,0000,0000,0,22387,0000,0000,0,22911,0000,0000,0,23351,0000,0000,0,23605,0000,0000,0,23986,0000,0000
